country,indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ARM,SP.POP.GROW,-1.17678628879226,-1.12320863167984,-0.900783081509756,-0.676510249442033,-0.596992234773189,-0.605237484238947,-0.683602136047238,-0.732665962263764,-0.700492224911231,-0.6431061166878,-0.609179750926293,-0.589489609644367,-0.498170160314836,-0.44829630947071,-0.395592881362063,-0.392995248824912,-0.444257166904663,-0.486625263030829
ASM,SP.URB.TOTL,51584,51611,51425,51160,50825,50441,50017,49561,49072,48554,48044,47522,46937,46290,45579,44812,43990,43117
ASM,SP.URB.GROW,1.6142305917451,0.0523281178663842,-0.361039252380598,-0.516645882837897,-0.656961719623165,-0.75840230789254,-0.844138879424085,-0.915871352131617,-0.991562674803217,-1.06120267389806,-1.05593229406713,-1.09244959814226,-1.23864847065879,-1.38803219610543,-1.54788709134401,-1.69711234332623,-1.85136253358485,-2.00449844640788
ASM,SP.POP.TOTL,58230,58324,58177,57941,57626,57254,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463
ASM,SP.POP.GROW,1.09822902395737,0.16129866050102,-0.252358482783624,-0.406483620024703,-0.545139668053888,-0.647634575615904,-0.730998688583939,-0.801982747478947,-0.876432921866332,-0.943767847051186,-0.938173192497606,-0.987558296772346,-1.1462982343373,-1.30478202241628,-1.47894571116667,-1.63927018758043,-1.80723076890422,-1.97181874740715
ATG,SP.URB.TOTL,24113,24191,24006,23785,23554,23336,23141,22966,22815,22670,22485,22292,22380,22434,22465,22485,22502,22518
ATG,SP.URB.GROW,0.53641727893261,0.322954901436329,-0.767686406077838,-0.924866921890812,-0.975947246488804,-0.929842485393645,-0.83912965218856,-0.759107468953717,-0.659664697463174,-0.637574985992819,-0.819404429676686,-0.862055051538081,0.393983317648936,0.240996233925256,0.138087729909168,0.0889877700547435,0.075577392620948,0.0710795232058521
ATG,SP.POP.TOTL,75055,76215,77195,78075,78941,79869,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119
ATG,SP.POP.GROW,1.65779341376666,1.53371156016655,1.27763943800851,1.13352150752522,1.10308348343215,1.16870545018922,1.27642249519442,1.37623327243605,1.49457906187611,1.5293679498773,1.3640660545341,1.19938337496143,1.0837075607137,0.934326293295174,0.831589247616481,0.786935419380774,0.690288328652049,0.6109561448905
AUS,SP.URB.TOTL,16028911,16210024,16419256,16633061,16835775,17065978,17321968,17666406,18049707,18451571,18767085,19056040,19414834,19775013,20095657,20410546,20755798,21127403
AUS,SP.URB.GROW,0.984333804176905,1.12357871219199,1.28249760868533,1.29375488089444,1.21137453896552,1.35808044012136,1.48886315447039,1.96893475127689,2.14645819019787,2.20200639528942,1.6955021612661,1.52795741614347,1.86533013697943,1.83817579922612,1.60845510176755,1.55480059894141,1.67739012761928,1.77452889208332
AUS,SP.POP.TOTL,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24594202
AUS,SP.POP.GROW,1.14447285147721,1.28396809127349,1.1375387361946,1.15019273319182,1.06919812205752,1.21729073052406,1.34945083098893,1.82499679529254,2.00391140524272,2.06083316277243,1.55570626204128,1.38952731561803,1.74582000067359,1.721151439989,1.49156648912847,1.43921665259925,1.56194049810399,1.65339053503068
AUT,SP.URB.TOTL,4824004,4820068,4821291,4822095,4829142,4839033,4839801,4832038,4823638,4812679,4800510,4792887,4817487,4861991,4916377,4988134,5058968,5110858
AUT,SP.URB.GROW,-0.220175991539749,-0.0816252765125744,0.0253698675997875,0.0166746410827647,0.146033119948255,0.204609524563365,0.0158696802034512,-0.16052793407859,-0.173990969023818,-0.227452142237554,-0.253173145767403,-0.158921841854284,0.511947895650249,0.919560199445851,1.11238523257782,1.44900148037757,1.41006179973647,1.02047862584527
AUT,SP.POP.TOTL,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566
AUT,SP.POP.GROW,0.240466652446524,0.382799394483217,0.49198046425522,0.487133894826838,0.620413127334181,0.681267248299787,0.494797775098466,0.324146535285463,0.313041437661508,0.261953189906348,0.240394299500766,0.337080841831645,0.45593747231891,0.589387254692989,0.781541632525841,1.12099250236958,1.08139629872802,0.694621103604983
AZE,SP.URB.TOTL,4135854,4184325,4232008,4280744,4335079,4396406,4461940,4530068,4643726,4759039,4835557,4920166,5008847,5098727,5189181,5279540,5368846,5453517
AZE,SP.URB.GROW,1.21344378120309,1.16515638336764,1.13311843032047,1.14502413490342,1.26130075641327,1.40475551381099,1.47962600704689,1.51533013846802,2.47801108138936,2.45286958706445,1.59505668203145,1.73459458477812,1.78634791175657,1.7785151839915,1.75849805273914,1.72630914534638,1.6774015137061,1.56477337981076
AZE,SP.POP.TOTL,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033
AZE,SP.POP.GROW,0.821519963674211,0.774765939386613,0.746173582716985,0.757650955616913,0.875427280482454,1.02226559239828,1.09858657441812,1.13385546615645,2.09985403259251,2.07614826384645,1.18978770786007,1.30300085487651,1.32876382733755,1.29344702700591,1.24820899735588,1.19120985807018,1.11785721013911,0.98126180450475
BDI,SP.URB.TOTL,520130,547065,577261,611164,650742,692707,736488,783656,837579,903684,971253,1032093,1096506,1165374,1235881,1295625,1350704,1417430
BDI,SP.URB.GROW,4.62153763088361,5.04888450132963,5.37268785774085,5.70708316726612,6.27479146975711,6.2493860070609,6.12858321286989,6.20772060591364,6.65454390587286,7.596415415179,7.21072487195949,6.07570677801742,6.05399815388462,6.09133047244049,5.87420105418283,4.72091281246148,4.16327337996974,4.82194346767499
BDI,SP.POP.TOTL,6307659,6465729,6648938,6860846,7120496,7388874,7658190,7944609,8278109,8709366,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593
BDI,SP.POP.GROW,2.0417212041938,2.47511575866868,2.79413757787033,3.13736150828626,3.71466281696618,3.69979693670807,3.58003081168824,3.67179220330916,4.11209752356589,5.07844376468302,4.67947760941816,3.54274498118795,3.52997284776032,3.55110770404353,3.3458633833966,2.18870609045616,1.62902475388378,2.28730144695888
BEL,SP.URB.TOTL,9956937,9997106,10047703,10095562,10144977,10206487,10279407,10360589,10448114,10537701,10639649,10784163,10856360,10912673,10966157,11034732,11095615,11143219
BEL,SP.URB.GROW,0.308431312307231,0.402615693084428,0.504840005818933,0.475187017156648,0.48827848090044,0.604479238401223,0.711907500572579,0.786651495882078,0.841239515661802,0.853791422542778,0.962809676840454,1.34911743933303,0.667241432726619,0.517369105105909,0.488911943991581,0.623385919307908,0.550223217018871,0.428116624357897
BEL,SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158
BEL,SP.POP.GROW,0.242517956221334,0.343951157623668,0.448268894821562,0.418641508069053,0.432788248129175,0.550055708089009,0.659558214980699,0.734330830765919,0.789976845480149,0.804599572619861,0.913639391631709,1.3010029017038,0.620163579337378,0.471340143966627,0.44392928847521,0.579446241677791,0.506300002451376,0.385228018372369
BEN,SP.URB.TOTL,2682552,2787454,2901071,3028144,3160900,3304019,3449196,3593837,3746862,3905656,4070440,4241480,4418712,4602023,4794300,4995735,5205425,5423582
BEN,SP.URB.GROW,3.87148751501267,3.8360054170946,3.99513447510548,4.28699114281374,4.2906906587585,4.42828090728256,4.30015541586328,4.10792735599933,4.16982557036081,4.15070692699142,4.1325342779679,4.11611632222051,4.09359859670972,4.06477385190632,4.0931722849319,4.11568361455487,4.11168025684283,4.10551317806747
BEN,SP.POP.TOTL,6998023,7212041,7431783,7659208,7894554,8149419,8402631,8647761,8906469,9172514,9445710,9726380,10014078,10308730,10614844,10932783,11260085,11596779
BEN,SP.POP.GROW,3.03845662138601,3.0124309700982,3.00138127284262,3.01427811282378,3.02645705105477,3.177348170646,3.05982347255495,2.87555724136521,2.94774231330122,2.94335369072878,2.93492666293192,2.92811115740547,2.91501212217311,2.89992060914312,2.92622897984691,2.95124912266827,2.94982814392549,2.94632156118807
BFA,SP.URB.TOTL,2120383,2271106,2432722,2605597,2790981,2988501,3198105,3393537,3576677,3768369,3970062,4183204,4409695,4646488,4893865,5153071,5422969,5701421
BFA,SP.URB.GROW,6.85756484832227,6.86702047633563,6.87438575377423,6.86510285676784,6.87313233222337,6.83787769629743,6.77865229952647,5.93142934061169,5.2561416766791,5.22081247892827,5.21394298500172,5.22957483914856,5.2728065972188,5.23061393535864,5.18707144194244,5.16104677903906,5.10506038167532,5.007199056703
BFA,SP.POP.TOTL,11882888,12249764,12632269,13030591,13445977,13876127,14316242,14757074,15197915,15650022,16116845,16602651,17113732,17636408,18169842,18718019,19275498,19835858
BFA,SP.POP.GROW,2.98388558736392,3.04072894648829,3.07479003510637,3.10451751268277,3.13802065225682,3.14899280596388,3.12248153649463,3.03278641140169,2.94356863526933,2.9314075345183,2.93926755839508,2.96973830872596,3.03188007722477,3.00842195462805,2.97977849923872,2.97234560821631,2.93481128912484,2.86565542084027
BGD,SP.URB.TOTL,30476706,31727320,33207655,34711400,36243549,37777256,39247175,40699664,42125647,43585126,45202909,46903386,48658361,50463354,52301622,54148316,56057220,58016080
BGD,SP.URB.GROW,3.56396663214103,4.02154852620664,4.56022822596011,4.4287741624036,4.31932435855494,4.14458215704186,3.81722387019357,3.63403697703824,3.44369107188052,3.40591977571723,3.64454978121574,3.69284258339114,3.67337850835789,3.64237554020305,3.57799744804209,3.46994901894979,3.46460806179455,3.43472587197033
BGD,SP.POP.TOTL,129193327,131670484,134139826,136503206,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964
BGD,SP.POP.GROW,1.90552404891968,1.89925268099487,1.85802653007171,1.74653680101613,1.66119164263389,1.51797511096499,1.21058994053819,1.05111719423699,0.887833017097369,0.880093475599957,1.1415513368569,1.21893869127295,1.24357124646827,1.26715729721878,1.24596020808779,1.19106112723824,1.23079535447054,1.24972406577957
BGR,SP.URB.TOTL,5629167,5539603,5448708,5433321,5419782,5406009,5391557,5378166,5366322,5357245,5347166,5337678,5331472,5326274,5320503,5310996,5298039,5283539
BGR,SP.URB.GROW,-0.171157650642926,-1.60386362919759,-1.65443211908207,-0.282796714742491,-0.249495596294176,-0.254448057069833,-0.267690118865882,-0.248678761764876,-0.220466620603334,-0.169290725144742,-0.188314947521282,-0.177597398592412,-0.116335428781667,-0.0975440850654849,-0.108408405007288,-0.178845947012378,-0.244263619495968,-0.274061374886556
BGR,SP.POP.TOTL,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947
BGR,SP.POP.GROW,-0.493896416633318,-1.99063220438276,-2.17069878030004,-0.79211363763553,-0.754796951273604,-0.752977445493645,-0.759505915531059,-0.735282283991309,-0.70192274454598,-0.644281362547054,-0.658275446635908,-0.641228920515067,-0.579220596364389,-0.559647217410859,-0.568389264052903,-0.638069468160719,-0.701382097841331,-0.730443175298289
BHR,SP.URB.TOTL,628716,645321,661316,687846,736762,797497,858852,920746,982987,1044748,1075702,1075052,1087280,1120807,1165795,1212293,1255867,1299292
BHR,SP.URB.GROW,2.74720093000752,2.60682230104421,2.44839217402731,3.93331865129447,6.86999335666605,7.92131636610236,7.4118540879233,6.95875972555163,6.54116842065566,6.09350917548755,2.91977636980506,-0.0604439205775808,1.13101321621974,3.03697968951029,3.93542961597313,3.91103498856279,3.53125631139207,3.39933300067121
BHR,SP.POP.TOTL,711442,730257,748324,778256,833451,901921,970981,1040532,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834
BHR,SP.POP.GROW,2.7515762605179,2.6102630692956,2.44395122899014,3.92194796267708,6.85193933235192,7.89520208580362,7.37799675652121,6.91804991621101,6.4936855776179,6.03817950789,2.85774564487366,-0.12928111452105,1.05556298562381,2.95475711852975,3.84537935863732,3.81660491261165,3.42907892150581,3.29163380324261
BHS,SP.URB.TOTL,266534,270455,274189,278015,281937,285957,290101,294366,298736,303224,307677,311718,315323,318531,321687,324941,327995,330887
BHS,SP.URB.GROW,1.69321459564921,1.46039106465837,1.37119237681649,1.38574194491706,1.40085726547946,1.41578081415146,1.43876883427672,1.45947528462747,1.47363491680767,1.49115660854148,1.45787250945238,1.30484015374869,1.14985773504039,1.0122291225219,0.98592215922591,1.00646042798103,0.935473697741726,0.877856299671164
BHS,SP.POP.TOTL,325014,329626,334002,338490,343089,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392697,395976,399020
BHS,SP.POP.GROW,1.46976235766802,1.40904200942925,1.31883025634015,1.334756883574,1.34953389082619,1.36492139898865,1.38766595682613,1.40838277430791,1.42383464201547,1.43998810307513,1.40695589315095,1.2454535327817,1.08183699838334,0.934994065798907,0.898582547265484,0.912227428271637,0.831528122187361,0.765793758966215
BIH,SP.URB.TOTL,1771376,1791152,1805904,1812822,1808276,1800058,1797002,1787553,1771372,1754255,1736255,1717279,1697524,1682852,1672688,1662529,1654095,1646947
BIH,SP.URB.GROW,1.37816316655527,1.11023425698696,0.820230916996715,0.382344970451888,-0.251084195362237,-0.455501858145626,-0.169916583835945,-0.527207527074408,-0.909325793425457,-0.971012219476719,-1.0313770515203,-1.09894334172017,-1.15703426450386,-0.868074565335509,-0.605805985621185,-0.609197627532439,-0.508590553513755,-0.433076051259853
BIH,SP.POP.TOTL,4179350,4194932,4198410,4183757,4142860,4094297,4058086,4007876,3943392,3877750,3811088,3743142,3674374,3617559,3571068,3524324,3480986,3440027
BIH,SP.POP.GROW,0.632139635256837,0.372139796167984,0.0828752170247773,-0.349623550237269,-0.982327609602979,-1.17913407901923,-0.888359591107583,-1.24500087046096,-1.62201585384377,-1.67861781190568,-1.7340375845377,-1.79893469913603,-1.8542587666769,-1.55832890226336,-1.29347782804997,-1.31760658922995,-1.23730578353764,-1.18362667966933
BLR,SP.URB.TOTL,6983033,6995457,6998521,6996348,6994710,6992229,6993921,7005597,7024602,7049739,7081770,7114020,7150971,7195632,7246350,7302153,7354014,7390686
BLR,SP.URB.GROW,0.233049857909096,0.177758874835104,0.0437902653407329,-0.0310542387708375,-0.0234149555735391,-0.0354759540457049,0.0241953648181244,0.166805781560358,0.270915781365443,0.357203605168211,0.453328159855854,0.454360841936171,0.5180666800968,0.622602357749472,0.702371855942725,0.767134235936024,0.707705042568411,0.497427219485653
BLR,SP.POP.TOTL,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989
BLR,SP.POP.GROW,-0.471131334643547,-0.512966688341309,-0.636565666436346,-0.699809190918934,-0.682169472243919,-0.683005560010688,-0.612296198031047,-0.458847535622636,-0.345415054298517,-0.245915441295321,-0.218522755959381,-0.234282914157686,-0.156617600248906,-0.0383800002667846,0.056151567510169,0.132853236725342,0.0877210878706449,-0.109782322950581
BLZ,SP.URB.TOTL,109140,112590,116126,119715,123356,127046,130783,134557,138353,142147,145682,149043,152506,156082,159731,163403,167109,170864
BLZ,SP.URB.GROW,2.84002286407907,3.11214400569533,3.09229066920039,3.04381094890388,2.99605658716917,2.94747417349311,2.89902355546765,2.84484399316828,2.78204890432151,2.70533432749151,2.45644306384036,2.28086908696299,2.29690846205685,2.31775706385302,2.31096401726445,2.27283917635128,2.2426752004562,2.22216243141438
BLZ,SP.POP.TOTL,240406,248100,255987,263998,272128,280375,288729,297173,305671,314171,322106,329538,337059,344688,352335,359871,367313,374693
BLZ,SP.POP.GROW,3.24372870048271,3.15027299454963,3.12947712423959,3.08148654198932,3.03310164793291,2.98554490009989,2.93605390781473,2.88259288843,2.8194899348079,2.74280635114816,2.49432602566338,2.28109896258836,2.25663156677437,2.23816708234299,2.19427675238371,2.11632063401839,2.04687117105776,1.9892678402512
BMU,SP.URB.TOTL,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873
BMU,SP.URB.GROW,0.890208773614165,1.07933521651731,0.650636983025823,0.654327136303748,0.653211310145151,0.647413398667903,0.573530641034438,0.564095738182979,0.591576774606153,0.554585139879867,-0.783118104363585,-0.863616495823483,0.361775877335588,0.312791570829084,0.210544188304464,0.151869636092986,-1.05247097968272,-1.06053459607618
BMU,SP.POP.TOTL,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873
BMU,SP.POP.GROW,0.890208773614165,1.07933521651731,0.650636983025823,0.65432713630377,0.653211310145151,0.647413398667903,0.573530641034438,0.564095738183002,0.591576774606153,0.554585139879867,-0.783118104363585,-0.863616495823495,0.361775877335588,0.312791570829084,0.210544188304464,0.151869636092964,-1.05247097968271,-1.0605345960762
BOL,SP.URB.TOTL,5309144,5449335,5588053,5728610,5871784,6017470,6167232,6320212,6475247,6632261,6791318,6952386,7114992,7273140,7428682,7584842,7741971,7899666
