ccn,facility_name,measure_abbr,score,type
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,618,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,145,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,145,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,145,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,145,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,NA,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,NA,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,NA,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,732,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,77.9,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,9,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,0.2,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,27.5,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,12.4,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,30.3,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,34.5,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,1.4,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,NA,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,13,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,6.1,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,95.5,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,67,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,16,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,83,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,39,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,100,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,50,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,43,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,51,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,25,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,71,percentile
011503,SAAD HOSPICE SERVICES,beliefs_addressed,918,denominator
011503,SAAD HOSPICE SERVICES,beliefs_addressed,99.9,observed
011503,SAAD HOSPICE SERVICES,composite_process,918,denominator
011503,SAAD HOSPICE SERVICES,composite_process,97.7,observed
011503,SAAD HOSPICE SERVICES,dyspena_treatment,707,denominator
011503,SAAD HOSPICE SERVICES,dyspena_treatment,98.9,observed
011503,SAAD HOSPICE SERVICES,dyspnea_screening,918,denominator
011503,SAAD HOSPICE SERVICES,dyspnea_screening,99.6,observed
011503,SAAD HOSPICE SERVICES,opioid_bowel,67,denominator
011503,SAAD HOSPICE SERVICES,opioid_bowel,100,observed
011503,SAAD HOSPICE SERVICES,pain_assessment,897,denominator
011503,SAAD HOSPICE SERVICES,pain_assessment,100,observed
011503,SAAD HOSPICE SERVICES,pain_screening,918,denominator
011503,SAAD HOSPICE SERVICES,pain_screening,99,observed
011503,SAAD HOSPICE SERVICES,treat_pref,918,denominator
011503,SAAD HOSPICE SERVICES,treat_pref,100,observed
011503,SAAD HOSPICE SERVICES,NA,340,denominator
011503,SAAD HOSPICE SERVICES,NA,NA,denominator
011503,SAAD HOSPICE SERVICES,NA,NA,denominator
011503,SAAD HOSPICE SERVICES,NA,487,denominator
011503,SAAD HOSPICE SERVICES,NA,487,denominator
011503,SAAD HOSPICE SERVICES,NA,487,denominator
011503,SAAD HOSPICE SERVICES,NA,487,denominator
011503,SAAD HOSPICE SERVICES,NA,NA,denominator
011503,SAAD HOSPICE SERVICES,NA,NA,denominator
011503,SAAD HOSPICE SERVICES,NA,NA,denominator
011503,SAAD HOSPICE SERVICES,NA,NA,denominator
011503,SAAD HOSPICE SERVICES,NA,18.8,observed
011503,SAAD HOSPICE SERVICES,NA,8,observed
011503,SAAD HOSPICE SERVICES,NA,3.5,observed
011503,SAAD HOSPICE SERVICES,NA,39.4,observed
011503,SAAD HOSPICE SERVICES,NA,6.4,observed
011503,SAAD HOSPICE SERVICES,NA,45.6,observed
011503,SAAD HOSPICE SERVICES,NA,29.8,observed
011503,SAAD HOSPICE SERVICES,NA,5.1,observed
011503,SAAD HOSPICE SERVICES,NA,NA,observed
011503,SAAD HOSPICE SERVICES,NA,8.5,observed
011503,SAAD HOSPICE SERVICES,NA,6.1,observed
011503,SAAD HOSPICE SERVICES,NA,95.9,observed
011503,SAAD HOSPICE SERVICES,NA,95,percentile
011503,SAAD HOSPICE SERVICES,NA,31,percentile
011503,SAAD HOSPICE SERVICES,NA,45,percentile
011503,SAAD HOSPICE SERVICES,NA,81,percentile
011503,SAAD HOSPICE SERVICES,NA,99,percentile
011503,SAAD HOSPICE SERVICES,NA,88,percentile
011503,SAAD HOSPICE SERVICES,NA,61,percentile
011503,SAAD HOSPICE SERVICES,NA,8,percentile
011503,SAAD HOSPICE SERVICES,NA,25,percentile
011503,SAAD HOSPICE SERVICES,NA,74,percentile
011505,HOSPICE FAMILY CARE,beliefs_addressed,877,denominator
011505,HOSPICE FAMILY CARE,beliefs_addressed,98.4,observed
011505,HOSPICE FAMILY CARE,composite_process,877,denominator
011505,HOSPICE FAMILY CARE,composite_process,93.8,observed
011505,HOSPICE FAMILY CARE,dyspena_treatment,420,denominator
011505,HOSPICE FAMILY CARE,dyspena_treatment,98.6,observed
011505,HOSPICE FAMILY CARE,dyspnea_screening,877,denominator
011505,HOSPICE FAMILY CARE,dyspnea_screening,100,observed
011505,HOSPICE FAMILY CARE,opioid_bowel,208,denominator
011505,HOSPICE FAMILY CARE,opioid_bowel,99.5,observed
011505,HOSPICE FAMILY CARE,pain_assessment,443,denominator
011505,HOSPICE FAMILY CARE,pain_assessment,92.6,observed
011505,HOSPICE FAMILY CARE,pain_screening,877,denominator
011505,HOSPICE FAMILY CARE,pain_screening,99.7,observed
011505,HOSPICE FAMILY CARE,treat_pref,877,denominator
011505,HOSPICE FAMILY CARE,treat_pref,100,observed
011505,HOSPICE FAMILY CARE,NA,538,denominator
011505,HOSPICE FAMILY CARE,NA,NA,denominator
011505,HOSPICE FAMILY CARE,NA,350,denominator
011505,HOSPICE FAMILY CARE,NA,82,denominator
011505,HOSPICE FAMILY CARE,NA,82,denominator
011505,HOSPICE FAMILY CARE,NA,82,denominator
011505,HOSPICE FAMILY CARE,NA,82,denominator
011505,HOSPICE FAMILY CARE,NA,NA,denominator
011505,HOSPICE FAMILY CARE,NA,NA,denominator
011505,HOSPICE FAMILY CARE,NA,NA,denominator
011505,HOSPICE FAMILY CARE,NA,NA,denominator
011505,HOSPICE FAMILY CARE,NA,64.3,observed
011505,HOSPICE FAMILY CARE,NA,10,observed
011505,HOSPICE FAMILY CARE,NA,6.2,observed
011505,HOSPICE FAMILY CARE,NA,32,observed
011505,HOSPICE FAMILY CARE,NA,6.1,observed
011505,HOSPICE FAMILY CARE,NA,24.4,observed
011505,HOSPICE FAMILY CARE,NA,4.9,observed
011505,HOSPICE FAMILY CARE,NA,4.9,observed
011505,HOSPICE FAMILY CARE,NA,NA,observed
011505,HOSPICE FAMILY CARE,NA,16.8,observed
011505,HOSPICE FAMILY CARE,NA,9.1,observed
011505,HOSPICE FAMILY CARE,NA,95.6,observed
011505,HOSPICE FAMILY CARE,NA,99,percentile
011505,HOSPICE FAMILY CARE,NA,21,percentile
011505,HOSPICE FAMILY CARE,NA,43,percentile
011505,HOSPICE FAMILY CARE,NA,24,percentile
011505,HOSPICE FAMILY CARE,NA,39,percentile
011505,HOSPICE FAMILY CARE,NA,86,percentile
011505,HOSPICE FAMILY CARE,NA,3,percentile
011505,HOSPICE FAMILY CARE,NA,83,percentile
011505,HOSPICE FAMILY CARE,NA,61,percentile
011505,HOSPICE FAMILY CARE,NA,71,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,beliefs_addressed,807,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,beliefs_addressed,100,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,composite_process,807,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,composite_process,99.8,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,dyspena_treatment,626,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,dyspena_treatment,99.7,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,dyspnea_screening,807,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,dyspnea_screening,100,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,opioid_bowel,211,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,opioid_bowel,100,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,pain_assessment,520,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,pain_assessment,100,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,pain_screening,807,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,pain_screening,100,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,treat_pref,807,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,treat_pref,100,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,796,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,NA,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,NA,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,332,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,332,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,332,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,332,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,NA,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,NA,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,NA,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,NA,denominator
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,67,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,8,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,0.8,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,46,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,10.2,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,37.3,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,24.1,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,6.3,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,NA,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,10.5,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,7.4,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,93.6,observed
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,84,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,41,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,73,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,61,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,98,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,93,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,43,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,24,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,41,percentile
011506,SOUTHERNCARE NEW BEACON - JASPER,NA,56,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,beliefs_addressed,511,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,beliefs_addressed,99.8,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,composite_process,511,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,composite_process,99.6,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,dyspena_treatment,427,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,dyspena_treatment,99.8,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,dyspnea_screening,511,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,dyspnea_screening,100,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,opioid_bowel,130,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,opioid_bowel,100,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,pain_assessment,328,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,pain_assessment,100,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,pain_screening,511,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,pain_screening,100,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,treat_pref,511,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,treat_pref,100,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,621,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,NA,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,NA,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,390,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,390,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,390,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,390,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,NA,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,NA,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,NA,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,863,denominator
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,77.6,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,9,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,0.2,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,54.7,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,5.6,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,48.5,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,15.4,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,5.6,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,NA,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,10.2,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,5.5,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,93.6,observed
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,67,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,54,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,39,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,85,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,86,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,90,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,77,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,21,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,18,percentile
011508,SOUTHERNCARE NEW BEACON OF ANNISTON,NA,56,percentile
011510,CULLMAN REGIONAL HOSPICE,beliefs_addressed,124,denominator
011510,CULLMAN REGIONAL HOSPICE,beliefs_addressed,100,observed
011510,CULLMAN REGIONAL HOSPICE,composite_process,124,denominator
011510,CULLMAN REGIONAL HOSPICE,composite_process,96,observed
011510,CULLMAN REGIONAL HOSPICE,dyspena_treatment,85,denominator
011510,CULLMAN REGIONAL HOSPICE,dyspena_treatment,100,observed
011510,CULLMAN REGIONAL HOSPICE,dyspnea_screening,124,denominator
011510,CULLMAN REGIONAL HOSPICE,dyspnea_screening,100,observed
011510,CULLMAN REGIONAL HOSPICE,opioid_bowel,43,denominator
011510,CULLMAN REGIONAL HOSPICE,opioid_bowel,97.7,observed
011510,CULLMAN REGIONAL HOSPICE,pain_assessment,54,denominator
011510,CULLMAN REGIONAL HOSPICE,pain_assessment,100,observed
011510,CULLMAN REGIONAL HOSPICE,pain_screening,124,denominator
011510,CULLMAN REGIONAL HOSPICE,pain_screening,96.8,observed
011510,CULLMAN REGIONAL HOSPICE,treat_pref,124,denominator
011510,CULLMAN REGIONAL HOSPICE,treat_pref,100,observed
011510,CULLMAN REGIONAL HOSPICE,NA,121,denominator
011510,CULLMAN REGIONAL HOSPICE,NA,NA,denominator
011510,CULLMAN REGIONAL HOSPICE,NA,108,denominator
011510,CULLMAN REGIONAL HOSPICE,NA,27,denominator
011510,CULLMAN REGIONAL HOSPICE,NA,27,denominator
011510,CULLMAN REGIONAL HOSPICE,NA,70.2,observed
011510,CULLMAN REGIONAL HOSPICE,NA,9,observed
011510,CULLMAN REGIONAL HOSPICE,NA,0.8,observed
011510,CULLMAN REGIONAL HOSPICE,NA,13.9,observed
011510,CULLMAN REGIONAL HOSPICE,NA,11.1,observed
011510,CULLMAN REGIONAL HOSPICE,NA,18.5,observed
011510,CULLMAN REGIONAL HOSPICE,NA,84,percentile
011510,CULLMAN REGIONAL HOSPICE,NA,5,percentile
011510,CULLMAN REGIONAL HOSPICE,NA,78,percentile
011510,CULLMAN REGIONAL HOSPICE,NA,13,percentile
